team1_id,team2_id,toss_winner,toss_decision,winner,venue
5,13,5,0,13,30
9,2,2,1,9,7
6,3,6,0,6,16
1,7,7,1,7,33
10,6,10,0,6,25
13,3,13,0,3,16
9,2,9,0,2,12
10,7,10,0,7,22
5,13,13,1,5,15
9,3,3,1,3,12
6,5,6,0,5,15
13,7,7,1,13,8
1,9,1,0,9,33
10,2,2,1,2,0
3,6,6,1,3,25
13,7,13,0,7,30
9,1,9,0,1,12
10,13,10,0,10,30
7,1,1,1,7,8
9,5,9,0,9,15
2,3,2,0,2,7
7,6,7,0,7,8
10,1,1,1,1,33
5,2,5,0,2,15
10,13,10,0,10,0
6,7,6,0,7,25
3,9,9,1,9,16
1,13,1,0,1,30
5,10,5,0,5,15
2,13,2,0,2,7
6,9,6,0,6,12
5,1,1,1,1,33
10,3,3,1,3,16
7,2,7,0,2,8
13,6,13,0,6,30
9,10,10,1,9,22
1,3,3,1,3,33
6,5,5,1,5,25
3,13,13,1,3,30
1,2,1,0,1,7
7,5,5,1,5,15
6,13,6,0,6,25
10,9,10,0,9,12
3,1,1,1,1,16
2,5,5,1,5,7
9,7,9,0,7,8
2,1,1,1,2,33
5,9,9,1,9,10
3,7,7,1,3,8
6,10,6,0,10,22
9,7,7,1,7,10
2,13,2,0,2,30
10,3,3,1,10,22
6,1,6,0,1,25
2,7,2,0,2,30
5,1,1,1,5,16
5,7,7,1,5,15
5,2,5,0,2,15
7,2,2,1,2,7
3,1,1,1,3,16
10,13,13,1,10,22
6,7,6,0,6,8
1,5,1,0,1,15
13,9,13,0,9,30
3,10,3,0,10,22
6,2,2,1,6,25
1,7,1,0,1,33
9,5,5,1,5,12
2,3,3,1,3,16
6,13,6,0,13,30
7,10,7,0,10,8
1,13,1,0,1,33
3,5,5,1,5,15
2,10,2,0,2,7
9,6,6,1,6,25
13,5,13,0,13,15
9,2,2,1,9,12
7,3,3,1,3,16
10,13,13,1,10,30
6,1,6,0,6,25
5,7,5,0,5,8
9,10,9,0,10,22
2,5,2,0,5,7
6,3,3,1,3,16
1,7,1,0,7,8
13,9,9,1,9,12
6,5,6,0,5,15
3,13,13,1,3,16
9,7,7,1,9,10
2,1,2,0,1,7
10,5,10,0,5,15
9,2,9,0,2,7
10,6,10,0,6,25
1,3,1,0,1,33
5,2,2,1,5,15
7,13,13,1,7,26
3,6,6,1,6,25
1,9,1,0,1,33
5,13,5,0,5,30
1,10,1,0,10,22
2,7,2,0,7,26
5,9,5,0,5,15
3,13,3,0,3,30
6,2,6,0,2,7
7,10,7,0,10,22
3,9,9,1,9,16
1,5,1,0,1,33
13,6,13,0,6,25
10,3,10,0,3,16
7,6,7,0,6,25
1,2,1,0,1,33
5,10,10,1,5,22
9,6,6,1,6,12
2,13,2,0,2,30
3,7,7,1,3,8
13,1,13,0,1,30
10,9,9,1,10,12
3,2,2,1,2,13
5,6,6,1,6,25
7,9,9,1,9,8
10,1,10,0,1,33
13,2,2,1,13,13
5,7,5,0,5,15
1,6,6,1,1,33
3,9,9,1,9,12
10,6,10,0,10,22
9,1,1,1,9,10
13,7,13,0,13,30
3,5,5,1,3,16
2,10,2,0,10,22
5,1,5,0,5,8
10,6,10,0,6,8
6,1,6,0,1,7
1,5,1,0,1,7
2,1,2,0,2,28
7,3,3,1,3,27
5,9,5,0,9,28
10,6,6,1,6,28
1,3,3,1,3,6
2,7,2,0,7,6
6,9,9,1,9,27
5,7,5,0,5,28
9,10,10,1,9,27
5,6,6,1,5,6
2,3,3,1,2,27
10,7,10,0,10,6
1,5,1,0,5,6
3,6,6,1,6,28
9,2,2,1,9,28
1,7,1,0,7,27
10,5,10,0,5,27
3,9,9,1,9,6
6,2,6,0,6,28
10,1,1,1,10,6
5,2,5,0,5,13
9,1,9,0,1,33
7,6,6,1,6,8
10,3,3,1,3,16
6,2,2,1,6,23
7,5,5,1,5,8
1,3,3,1,1,33
7,2,7,0,2,8
9,5,5,1,9,0
10,6,6,1,10,23
9,3,3,1,9,16
7,10,10,1,10,8
1,5,5,1,5,33
9,2,2,1,2,0
3,6,3,0,6,16
10,1,10,0,1,22
6,5,6,0,5,13
3,7,7,1,3,16
10,9,9,1,9,22
1,2,2,1,2,0
6,7,7,1,6,23
5,3,5,0,3,13
10,2,10,0,2,22
1,6,1,0,1,23
7,9,9,1,9,8
3,10,3,0,10,22
5,2,2,1,2,7
9,1,1,1,1,12
2,3,3,1,2,7
5,10,10,1,10,13
1,7,7,1,1,33
9,6,6,1,9,12
3,5,5,1,5,16
10,2,2,1,2,7
7,9,9,1,9,12
6,1,1,1,1,33
2,9,9,1,2,7
1,5,5,1,5,1
9,5,5,1,9,33
9,2,2,1,2,16
1,2,2,1,2,7
5,7,7,1,5,15
6,9,9,1,6,17
5,10,5,0,5,15
2,3,3,1,3,7
7,6,6,1,6,8
9,1,1,1,9,33
3,10,10,1,10,16
1,6,1,0,6,23
5,2,2,1,2,7
9,7,9,0,7,17
10,6,6,1,6,5
1,5,1,0,5,33
7,10,7,0,7,5
9,2,2,1,2,17
5,6,5,0,6,23
1,3,3,1,1,16
7,2,2,1,2,8
6,9,9,1,9,23
10,2,2,1,10,5
5,3,3,1,5,16
7,1,1,1,7,8
6,3,3,1,3,23
1,10,1,0,1,33
5,9,5,0,5,15
7,3,3,1,3,8
10,9,9,1,10,12
2,7,2,0,2,7
3,6,6,1,14,16
5,2,2,1,5,15
9,7,7,1,7,8
1,6,6,1,1,33
2,3,3,1,3,16
10,5,5,1,10,22
1,9,1,0,1,12
6,7,7,1,6,1
5,3,5,0,5,15
2,10,10,1,2,7
7,1,7,0,1,33
3,9,9,1,3,16
10,6,6,1,10,1
5,1,5,0,1,15
9,2,9,0,2,7
10,7,10,0,10,26
3,1,3,0,3,33
5,6,5,0,5,15
10,9,10,0,10,22
5,7,5,0,7,26
9,3,3,1,9,12
1,2,2,1,1,33
10,3,10,0,3,22
9,5,9,0,5,12
6,2,6,0,6,1
7,3,3,1,14,16
10,1,10,0,1,22
1,5,1,0,1,33
3,6,3,0,3,17
3,5,5,1,5,13
1,5,5,1,1,7
1,11,1,0,11,33
7,2,2,1,2,7
9,8,8,1,8,12
3,10,10,1,3,16
2,1,1,1,1,7
11,8,11,0,8,24
9,7,7,1,7,8
10,2,10,0,2,22
1,8,8,1,8,33
11,9,11,0,9,12
3,7,7,1,7,16
1,10,10,1,10,22
9,2,2,1,2,12
3,1,1,1,1,33
8,10,10,1,10,24
3,11,11,1,3,17
7,1,1,1,7,8
9,10,10,1,10,22
3,8,3,0,8,24
11,2,2,1,2,17
1,9,9,1,1,12
10,11,11,1,11,22
8,7,7,1,8,8
2,1,1,1,1,33
11,8,8,1,8,17
7,2,2,1,7,8
10,3,3,1,10,22
9,8,8,1,9,24
11,1,1,1,1,17
3,2,2,1,2,16
8,7,7,1,7,24
2,9,9,1,2,7
7,11,11,1,11,8
8,10,10,1,10,22
11,3,3,1,3,16
9,7,7,1,9,12
10,1,1,1,10,5
2,8,8,1,8,7
3,9,9,1,3,12
10,11,10,0,10,5
3,1,1,1,1,16
10,7,7,1,7,22
1,9,1,0,9,5
3,8,8,1,3,16
11,2,11,0,2,7
9,10,9,0,10,12
1,7,7,1,1,5
2,3,3,1,3,7
7,11,11,1,11,5
3,9,9,1,3,16
2,8,8,1,8,9
10,7,7,1,7,26
9,11,9,0,11,5
1,8,8,1,8,9
2,10,10,1,2,7
7,3,3,1,3,26
8,3,3,1,3,16
10,2,2,1,10,8
8,10,10,1,10,8
10,3,10,0,10,16
10,3,3,1,10,22
1,11,11,1,11,17
8,2,2,1,2,24
11,9,9,1,9,11
3,7,3,0,3,16
8,10,10,1,10,22
2,1,1,1,1,33
3,9,3,0,9,11
7,11,11,1,7,17
10,1,1,1,1,33
9,2,2,1,2,7
3,1,1,1,1,16
11,8,8,1,8,24
2,10,10,1,2,7
7,9,7,0,7,8
8,1,1,1,1,33
11,3,3,1,11,16
7,2,7,0,2,8
10,9,9,1,10,22
3,8,8,1,3,24
10,7,10,0,10,22
9,1,1,1,1,11
2,8,8,1,8,7
1,7,7,1,1,33
10,11,11,1,11,17
9,8,8,1,9,24
2,3,3,1,2,7
11,1,1,1,11,33
11,2,2,1,2,17
3,8,8,1,8,16
7,2,2,1,2,7
10,9,9,1,10,12
11,3,3,1,11,17
8,1,8,0,1,24
7,9,9,1,9,12
10,2,2,1,10,22
3,1,3,0,1,33
8,11,11,1,11,17
10,7,7,1,7,8
2,11,11,1,11,7
8,7,7,1,7,8
9,3,3,1,9,16
11,10,10,1,11,22
1,7,7,1,1,8
3,2,2,1,2,16
9,8,8,1,8,12
1,10,1,0,10,22
9,2,2,1,9,12
8,7,7,1,7,9
9,1,1,1,9,33
7,11,7,0,7,8
8,10,10,1,10,9
1,2,2,1,1,7
9,11,11,1,11,17
3,7,3,0,3,8
11,1,1,1,11,33
10,2,2,1,2,16
2,1,1,1,1,16
1,11,1,0,1,22
1,5,5,1,5,33
7,9,9,1,9,8
2,3,2,1,2,7
10,6,10,1,10,22
5,2,5,1,5,15
6,7,7,1,6,25
10,1,10,1,10,22
3,9,3,1,3,16
1,7,7,1,7,33
2,10,10,1,10,7
3,6,3,1,6,16
9,5,5,1,9,11
2,7,7,1,2,7
1,3,3,1,1,33
6,2,2,1,2,25
9,10,9,0,9,11
5,6,6,1,5,15
2,9,9,1,9,7
7,3,3,1,3,8
10,5,10,1,5,22
6,1,1,0,6,25
9,7,7,1,9,11
1,10,1,1,10,33
3,5,5,1,5,16
10,9,9,1,10,22
7,2,2,1,7,8
5,1,1,1,1,15
6,10,10,0,10,25
3,2,2,1,2,16
5,7,7,1,5,15
3,1,1,1,3,16
7,6,6,1,7,8
2,5,2,1,2,7
9,1,1,1,1,12
5,3,5,1,5,15
10,7,7,0,10,22
1,2,2,1,1,33
9,6,9,1,9,12
10,3,3,1,10,22
6,9,6,0,6,25
2,1,2,1,1,7
7,10,7,0,10,8
6,5,5,0,6,25
9,2,9,1,2,12
3,7,3,1,3,16
5,10,5,1,5,15
1,6,6,1,6,33
9,3,3,1,6,12
2,6,2,1,2,7
1,9,9,1,1,33
3,10,10,1,3,16
7,5,5,1,7,8
6,3,6,0,6,25
10,2,10,0,2,22
7,1,7,0,7,8
5,9,5,1,5,15
5,10,5,1,5,33
2,6,6,1,2,7
10,2,2,1,10,7
5,10,5,1,5,33
